"","feature","orig_index","module","within_module_ordering"
"1","mmu_M00101",25,1,0
"2","mmu_M00073",26,1,0.111111111111111
"3","mmu_M00135",22,1,0.222222222222222
"4","mmu_M00130",27,1,0.222222222222222
"5","mmu_M00035",31,1,0.444444444444444
"6","mmu_M00075",24,1,0.555555555555556
"7","mmu_M00072",13,1,0.666666666666667
"8","mmu_M00089",29,1,0.666666666666667
"9","mmu_M00014",32,1,0.888888888888889
"10","mmu_M00129",21,1,1
"11","mmu_M00099",17,2,0
"12","mmu_M00094",18,2,1
"13","mmu_M00862",23,3,0
"14","mmu_M00032",28,3,0.0909090909090909
"15","mmu_M00085",20,3,0.181818181818182
"16","mmu_M00087",15,3,0.272727272727273
"17","mmu_M00036",16,3,0.363636363636364
"18","mmu_M00873",12,3,0.454545454545455
"19","mmu_M00307",14,3,0.545454545454545
"20","mmu_M00010",11,3,0.636363636363636
"21","mmu_M00009",9,3,0.727272727272727
"22","mmu_M00011",8,3,0.818181818181818
"23","mmu_M00049",7,3,0.909090909090909
"24","mmu_M00128",19,3,1
"25","mmu_M00741",30,4,0
"26","mmu_M00098",33,4,0.125
"27","mmu_M00854",5,4,0.25
"28","mmu_M00549",10,4,0.375
"29","mmu_M00855",6,4,0.5
"30","mmu_M00047",4,4,0.625
"31","mmu_M00003",1,4,0.75
"32","mmu_M00001",2,4,0.75
"33","mmu_M00002",3,4,0.75
